dataset,f3s_1tb1tcb,f3s_1tb1rw,f3s_1tb1rw_no_softmax,f3s_1tb1rw_scheduled,f3s_1tb1rw_scheduled_permuteV,flashSparse_no_softmax,flashSparse_naive_softmax,flashSparse_stable_softmax,dfgnn_tiling,dfgnn_hyper,pyg_gtconv
citeseer,0.03244800120592117,0.018352000042796135,,0.020080000162124634,0.015103999990969896,,0.0801599994301796,0.42715199291706085,0.053328000009059906,0.04529600031673908,0.5250080227851868
cora,0.0456480011343956,0.022544000297784805,,0.025631999596953392,0.019328000023961067,,0.09848000109195709,0.48788799345493317,0.06180799938738346,0.05379199981689453,0.4986400008201599
pubmed,0.09510399773716927,0.05742399953305721,,0.044735999777913094,0.03057599999010563,,0.12099200114607811,0.48476798832416534,0.12478399649262428,0.07344000041484833,0.5128160119056702
Ell,0.19167999923229218,0.21289600431919098,,0.20164799690246582,0.16750399768352509,,0.3862079977989197,1.5544479489326477,0.7440159916877747,0.2617119997739792,1.1821920275688171
github,2.2072800397872925,0.9135999977588654,,1.016752004623413,0.6723679900169373,,0.2431199923157692,0.7058240175247192,2.6631040573120117,,2.4750720262527466
Artist,0.42796799540519714,0.26846399903297424,,0.2372480034828186,0.15776000171899796,,0.2998400032520294,0.8049120008945465,0.49956800043582916,0.42875200510025024,3.4082400798797607
com-amazon.ungraph,0.5163359940052032,0.4686719924211502,,0.46212799847126007,0.3659200072288513,,0.5818080008029938,2.383552074432373,1.2551999688148499,0.5906399786472321,4.077088117599487
Blog,4.985791921615601,2.0908159017562866,,2.3912479877471924,1.556656002998352,,0.8354880213737488,1.5367199778556824,3.004047989845276,,16.442944526672363
amazon0505,1.1326559782028198,0.8923520147800446,,0.8963519930839539,0.6809599995613098,,0.9484800100326538,3.4365919828414917,2.0810879468917847,1.2280800342559814,13.862064361572266
igb_small,5.4517600536346436,3.9050880670547485,,3.9674720764160156,2.9621920585632324,,3.8824158906936646,10.267744064331055,6.122208118438721,,51.45929718017578
yelp,6.9290080070495605,4.380511999130249,,4.030895948410034,2.89849591255188,,3.737712025642395,8.276463508605957,6.76579213142395,,57.09310340881348
reddit,34.43248176574707,18.570768356323242,,13.660560131072998,9.155616283416748,,13.522960186004639,17.007983207702637,30.92756748199463,,
igb_medium,53.606191635131836,39.31625747680664,,40.13273620605469,29.989087104797363,,45.02499008178711,113.46747589111328,61.68446350097656,,
ogbn-products,51.712846755981445,34.814640045166016,,35.23945426940918,25.347840309143066,,31.65683078765869,49.051279067993164,44.17478370666504,,
amazonProducts,106.06588745117188,69.2146224975586,,65.03025436401367,43.40044975280762,,54.910383224487305,66.73880004882812,86.10717010498047,,
ZINC,0.030799999833106995,0.030352000147104263,,0.030895999632775784,0.02427199948579073,,0.10203199833631516,0.49931199848651886,0.12454400211572647,0.05689599923789501,0.4198720008134842
PascalVOC-SP,0.8411040008068085,0.7034720182418823,,0.7101120054721832,0.5396479964256287,,0.9150400161743164,3.912112236022949,2.336095929145813,0.9652960002422333,11.249152183532715
COCO-SP,0.8382239937782288,0.7024959921836853,,0.7096000015735626,0.5405440032482147,,0.9163200259208679,3.891343832015991,2.318127989768982,0.9591200053691864,11.178400039672852
Peptides-func,0.1531200036406517,0.16654399782419205,,0.1613920032978058,0.1324160024523735,,0.25912000238895416,1.335856020450592,0.6771840155124664,0.23715200275182724,1.4631680250167847
Peptides-struct,0.1523040011525154,0.16619200259447098,,0.1608319953083992,0.13262400031089783,,0.2603520005941391,1.3334400057792664,0.6740480065345764,0.2337760031223297,1.4649919867515564
ogbg-molhiv,0.02836799994111061,0.02716799918562174,,0.027808000333607197,0.02145600039511919,,0.08875200152397156,0.47123201191425323,0.11262400075793266,0.04604800045490265,0.4455520063638687
ogbg-ppa,0.8423680067062378,0.6499519944190979,,0.6885760128498077,0.5207200050354004,,0.843887984752655,2.6092159748077393,2.0170400142669678,1.3093600273132324,21.47596836090088
ogbg-molpcba,0.0360959991812706,0.036288000643253326,,0.03359999880194664,0.029071999713778496,,0.10839999839663506,0.50969597697258,0.1369599997997284,0.05975999869406223,0.46585600078105927
ogbg-code2,0.10008000209927559,0.1204800009727478,,0.11414399743080139,0.09630400314927101,,0.2061759978532791,0.9161440432071686,0.3140000104904175,0.15617600083351135,0.6222400069236755
